Name,Category,Calories,Protein,Fat,Carbs,Fiber,Sugar,AddedSugar,WholeGrains,SaturatedFat,MonounsaturatedFat,PolyunsaturatedFat,Cholesterol,VitaminD,VitaminB12,Iron,Zinc,Calcium,Omega3,Omega6,IsVegan
Likör mindre söt vol. % 24,Dryck,232,0.0,0.0,24.7,0.0,24.7,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True
Kaffedrink Irish coffee m.whiskey vispad grädde,Dryck,80,0.1,2.7,4.2,0.0,3.8,4,0,1.7,0.7,0.1,7.7,0.01,0.02,0.1,0.0,14,0.0,0.0,False
Bovetemjöl,Mjöl,361,13.5,3.6,65.1,5.5,1.2,0,0,0.6,1.1,0.9,0.0,0.0,0.0,2.4,2.1,14,0.0,0.9,True
Havremust pulver,"Flingor, frukostflingor, müsli, gröt, välling",361,14.0,7.2,54.4,10.0,1.3,0,100,1.2,2.6,2.9,0.0,0.0,0.0,5.5,3.3,260,0.1,2.2,False
Kornmjöl fullkorn,Mjöl,341,9.2,3.0,64.7,7.6,0.9,0,100,0.5,0.3,1.4,0.0,0.0,0.0,3.5,2.4,27,0.1,1.2,True
Majsmjöl gult u. groddar,Mjöl,354,6.0,3.4,71.5,4.7,1.2,0,0,0.4,0.9,1.6,0.0,0.0,0.0,1.6,1.1,4,0.0,1.6,True
Rågmjöl fullkorn,Mjöl,325,8.1,1.7,59.3,18.8,2.0,0,100,0.3,0.2,0.8,0.0,0.0,0.0,2.6,2.8,32,0.0,0.8,True
Vetemjöl fullkorn grahamsmjöl,Mjöl,336,10.7,2.0,61.0,13.8,1.2,0,100,0.2,0.3,0.9,0.0,0.0,0.0,3.0,2.3,29,0.1,0.8,True
Vetediet berikad,"Måltidsersättning, sportpreparat",388,19.0,8.5,53.5,9.5,3.6,2,69,1.0,2.2,4.8,0.0,1.0,1.87,9.8,2.3,390,0.1,4.7,True
Vetemjöl bagerivetemjöl,Mjöl,348,10.6,1.6,70.2,3.1,1.5,0,0,0.2,0.1,0.7,0.0,0.0,0.0,1.1,0.8,18,0.0,0.6,True
Vetemjöl,Mjöl,352,8.5,1.9,72.4,3.6,1.6,0,0,0.3,0.2,0.8,0.0,0.0,0.0,0.7,0.6,20,0.0,0.8,True
Majsstärkelse,Mjöl,362,0.0,0.7,87.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,8,0.0,0.0,True
Potatismjöl,Mjöl,346,0.0,0.4,84.3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,11,0.0,0.0,True
Samarinpulver,Övrigt,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True
Samarin drickf.,Övrigt,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,True
Vatten sodavatten,Dryck,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,True
Vatten vichyvatten,Dryck,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,True
Vatten mineralvatten,Dryck,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2,0.0,0.0,True
Vatten kranvatten,Dryck,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,True
Snabbkaffe pulver,Smaksättare,305,22.5,0.9,38.6,25.5,0.0,0,0,0.4,0.1,0.4,0.0,0.0,0.0,3.5,0.3,140,0.0,0.4,True
Snabbkaffe drickf.,Dryck,2,0.1,0.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,True
Kaffe bryggt,Dryck,2,0.0,0.0,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,True
Kaffe espresso bryggt drickf.,Dryck,9,0.1,0.2,1.7,0.0,0.0,0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,2,0.0,0.1,True
